# Result_no_control/output_current_peak.csv run at 2000-01-01 18:03:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,29.032954,-0.368220,23.870210,3.781202,25.941662,1.881661
TR1,29.032954,-0.368220,23.870210,3.781202,25.941662,1.881661
LINE1,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE2,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE3,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE4,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE5,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE6,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE7,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE8,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE9,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE10,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE11,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE12,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE13,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE14,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE15,0.000000,-0.488580,0.000000,3.193433,0.000000,1.540656
LINE16,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE17,0.000000,1.545864,0.000000,2.871682,0.000000,1.545864
LINE18,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE19,0.000000,3.116661,0.000000,2.133867,0.000000,1.452388
LINE20,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE21,0.000000,0.220047,0.000000,2.653013,0.000000,1.530241
LINE22,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE23,0.000000,-0.346682,0.000000,3.045353,0.000000,1.421509
LINE24,809.274713,-0.837745,709.743725,3.315448,558.899219,1.246488
LINE25,0.000000,-0.222327,0.000000,3.116661,0.000000,1.493828
LINE26,68.739850,-0.865466,0.000000,-0.724888,0.000000,1.605174
LINE27,740.563723,-0.835173,709.743725,3.315448,558.899219,1.246488
LINE28,0.000000,-0.612935,0.000000,3.116661,0.000000,1.522431
LINE29,36.779314,-0.865476,0.000000,2.906929,0.000000,-1.456596
LINE30,31.960537,-0.865454,0.000000,-0.608746,0.000000,1.607049
LINE31,740.563723,-0.835173,709.743725,3.315448,558.899219,1.246488
LINE32,0.000000,-0.457340,0.000000,3.175417,0.000000,1.548705
LINE33,36.779314,-0.865476,0.000000,2.838880,0.000000,-0.947891
LINE34,31.960537,-0.865454,0.000000,-0.187940,0.000000,1.620503
LINE35,0.000000,2.596387,66.822331,3.318743,0.000000,1.579751
LINE36,740.563723,-0.835173,642.921795,3.315105,558.899219,1.246488
LINE37,0.000000,-0.583531,0.000000,3.231537,0.000000,1.543260
LINE38,31.960537,-0.865454,0.000000,-0.368903,0.000000,1.623294
LINE39,0.000000,2.578595,34.811079,3.318759,0.000000,1.567902
LINE40,0.000000,3.322768,32.011252,3.318726,0.000000,4.697849
LINE41,740.563723,-0.835173,642.921795,3.315105,558.899219,1.246488
LINE42,0.000000,0.637934,0.000000,-1.034332,0.000000,4.494829
LINE43,0.000000,-0.488580,0.000000,3.116661,0.000000,1.452388
LINE44,31.960537,-0.865454,0.000000,3.835366,0.000000,1.752115
LINE45,0.000000,2.909066,34.811079,3.318759,0.000000,1.481095
LINE46,0.000000,1.717397,32.011252,3.318726,0.000000,1.391482
LINE47,740.563723,-0.835173,642.921795,3.315105,558.899219,1.246488
LINE48,0.000000,0.783543,0.000000,-0.676386,0.000000,4.460470
LINE49,0.000000,0.220047,0.000000,2.473160,0.000000,1.473077
LINE50,31.960537,-0.865454,0.000000,-0.515001,0.000000,2.332076
LINE51,0.000000,2.764115,34.811079,3.318759,0.000000,-1.513381
LINE52,740.563723,-0.835173,642.921795,3.315105,558.899219,1.246488
LINE53,0.000000,3.226367,0.000000,-0.118638,0.000000,1.351205
LINE54,0.000000,0.990248,0.000000,-0.478114,0.000000,4.602585
LINE55,0.000000,-0.346682,0.000000,1.743260,0.000000,1.458587
LINE56,31.960537,-0.865454,0.000000,-1.038571,0.000000,1.665664
LINE57,0.000000,2.845343,34.811079,3.318759,0.000000,1.546556
LINE58,740.563723,-0.835173,642.921795,3.315105,558.899219,1.246488
LINE59,0.000000,3.292172,0.000000,0.043751,0.000000,1.202223
LINE60,0.000000,0.139636,0.000000,-0.731044,0.000000,2.415980
LINE61,0.000000,-0.024932,0.000000,1.926371,0.000000,1.478259
LINE62,31.960537,-0.865454,0.000000,0.094672,0.000000,4.513408
LINE63,0.000000,2.789220,34.811079,3.318759,0.000000,1.605682
LINE64,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE65,67.926881,-0.853435,0.000000,3.215692,0.000000,1.672390
LINE66,0.000000,1.760129,0.000000,-1.074554,0.000000,0.478845
LINE67,0.000000,0.064509,0.000000,-0.988125,0.000000,2.203526
LINE68,0.000000,2.871682,0.000000,1.764533,0.000000,1.509422
LINE69,31.960537,-0.865454,0.000000,-0.297386,0.000000,1.442680
LINE70,0.000000,2.165169,34.811079,3.318759,0.000000,1.548961
LINE71,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE72,33.803005,-0.853436,0.000000,2.922013,0.000000,2.079583
LINE73,34.123876,-0.853434,0.000000,3.263912,0.000000,4.395420
LINE74,0.000000,1.189800,0.000000,4.687868,0.000000,1.205721
LINE75,0.000000,0.253872,0.000000,-0.823267,0.000000,-1.258246
LINE76,0.000000,2.992306,0.000000,1.681392,0.000000,1.501251
LINE77,0.000000,3.299466,34.811079,3.318759,0.000000,1.448519
LINE78,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE79,0.000000,0.725159,0.000000,4.629364,0.000000,1.596373
LINE80,0.000000,0.284013,0.000000,-0.934035,0.000000,1.690662
LINE81,0.000000,2.838361,0.000000,1.579185,0.000000,1.502365
LINE82,0.000000,0.378108,34.811079,3.318759,0.000000,4.639431
LINE83,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE84,0.000000,0.861489,0.000000,-0.282438,0.000000,1.073435
LINE85,0.000000,0.260452,0.000000,-0.929475,0.000000,1.893727
LINE86,0.000000,3.241016,0.000000,1.659656,0.000000,1.506411
LINE87,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE88,0.000000,3.031666,0.000000,3.031666,0.000000,-0.237076
LINE89,0.000000,0.287956,0.000000,-0.865617,0.000000,-0.387455
LINE90,0.000000,3.116661,0.000000,1.366011,0.000000,1.504222
LINE91,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE92,0.000000,0.435954,0.000000,-0.705228,0.000000,-0.878304
LINE93,0.000000,3.116661,0.000000,1.545864,0.000000,1.452388
LINE94,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE95,0.000000,0.270142,0.000000,-0.626356,0.000000,2.312817
LINE96,0.000000,2.653013,0.000000,0.000000,0.000000,4.656217
LINE97,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE98,0.000000,0.576050,0.000000,3.311377,0.000000,4.199736
LINE99,0.000000,2.331263,0.000000,3.116661,0.000000,4.625038
LINE100,672.649312,-0.833329,642.921795,3.315105,558.899219,1.246488
LINE101,0.000000,-1.069505,0.000000,3.687813,0.000000,3.312760
LINE102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LINE103,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE104,636.335275,-0.832408,537.771013,3.314077,484.167249,1.247142
LINE105,0.000000,-1.152660,0.000000,3.886979,0.000000,3.340994
LINE106,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE107,636.335275,-0.832408,537.771013,3.314077,484.167249,1.247142
LINE108,0.000000,4.517127,0.000000,3.878467,0.000000,3.504265
LINE109,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE110,636.335275,-0.832408,537.771013,3.314077,484.167249,1.247142
LINE111,0.000000,4.439627,0.000000,3.860165,0.000000,3.537991
LINE112,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE113,636.335275,-0.832408,537.771013,3.314077,484.167249,1.247142
LINE114,0.000000,4.460078,0.000000,3.869886,0.000000,3.539123
LINE115,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE116,46.594058,-0.847003,83.341386,3.320943,69.008959,1.243870
LINE117,589.746571,-0.831255,454.431951,3.312818,415.158721,1.247686
LINE118,0.000000,4.490730,0.000000,3.836832,0.000000,3.555151
LINE119,36.319028,-0.849453,105.152518,3.320360,74.732745,1.242248
LINE120,0.000000,1.978272,0.000000,2.331263,0.000000,1.639341
LINE121,46.594058,-0.847003,83.341386,3.320943,69.008959,1.243870
LINE122,589.746571,-0.831255,454.431951,3.312818,415.158721,1.247686
